Agency,Annual_Contract_Revenue,State,Country,Congressional_District,Contracting_Agency,Contracting_Office,DUNS,Contract_Date,Vendor
NASA,15800000,MARYLAND,USA,5,NASA,GODDARD SPACE FLIGHT CENTER,621165513,2011,"AIRTEC, INC."
NASA,15800000,MARYLAND,USA,5,NASA,GODDARD SPACE FLIGHT CENTER,621165513,2012,"AIRTEC, INC."
NASA,15521855,MARYLAND,USA,3,NASA,GODDARD SPACE FLIGHT CENTER,10094977,2012,"MASTERS, MATES AND PILOTS MARITIME ADVANCEMENT, TRAINING, EDUCATION AND SAFETY PROGRAM"
NASA,15000000,CALIFORNIA,USA,12,NASA,KENNEDY SPACE CENTER,86438152,2011,"TECHNICAL COMMUNITIES, INC."
NASA,14000000,MARYLAND,USA,5,NASA,GODDARD SPACE FLIGHT CENTER,45495892,2012,BECHDON COMPANY THE
NASA,13183000,MARYLAND,USA,3,NASA,JOHNSON SPACE CENTER,603666553,2012,"PCTEST ENGINEERING LABORATORY, INC."
NASA,11000000,MARYLAND,USA,2,NASA,GODDARD SPACE FLIGHT CENTER,69394435,2011,"E. J. ENTERPRISES, INC."
NASA,10000000,VIRGINIA,USA,11,NASA,NASA SHARED SERVICES CENTER,153903802,2012,ATLANTIC MANAGEMENT CENTER INCORPORATED
NASA,8970719,PENNSYLVANIA,USA,16,NASA,MARSHALL SPACE FLIGHT CENTER,108049503,2012,"ASTRO MACHINE WORKS, INC."
NASA,8030000,TEXAS,USA,21,NASA,JOHNSON SPACE CENTER,43227065,2011,HONEYWELL INTERNATIONAL INC
NASA,7000000,OHIO,USA,14,NASA,GLENN RESEARCH CENTER,146755603,2012,PINNACLE CONSTRUCTION DEVELOPMENT GROUP
NASA,6078963,VIRGINIA,USA,1,NASA,LANGLEY RESEARCH CENTER,45856622,2012,ANALYTICAL MECHANICS ASSOCIATE
NASA,6000000,ALABAMA,USA,5,NASA,MARSHALL SPACE FLIGHT CENTER,959672486,2012,"EXPRESS SALES, INC."
NASA,6000000,COLORADO,USA,6,NASA,LANGLEY RESEARCH CENTER,943118455,2012,RAINBOW RESEARCH OPTICS INC
NASA,4990000,ALABAMA,USA,5,NASA,MARSHALL SPACE FLIGHT CENTER,52109279,2011,"ARC OF MADISON COUNTY, THE"
NASA,4650382,VIRGINIA,USA,2,NASA,NASA SHARED SERVICES CENTER,783636848,2012,"VIRGINIA AIR AND SPACE CENTER, THE"
NASA,4500000,CONNECTICUT,USA,3,NASA,JOHNSON SPACE CENTER,1178680,2012,"AIR-LOCK, INCORPORATED"
NASA,4004947,MICHIGAN,USA,15,NASA,GODDARD SPACE FLIGHT CENTER,969868298,2012,MICHIGAN AEROSPACE CORPORATION
NASA,4000000,MARYLAND,USA,1,NASA,GODDARD SPACE FLIGHT CENTER,83987099,2011,"EXPERIMENTAL MACHINE, INC."
NASA,4000000,NEW MEXICO,USA,,NASA,GODDARD SPACE FLIGHT CENTER,787059612,2012,IDEALS INC
NASA,3800000,NEW YORK,USA,29,NASA,GODDARD SPACE FLIGHT CENTER,625389515,2011,"LANE INDUSTRIES, INC."
NASA,3100000,COLORADO,USA,6,NASA,NASA SHARED SERVICES CENTER,148034408,2011,ADA TECHNOLOGIES INC.
NASA,3030000,DISTRICT OF COLUMBIA,USA,0,NASA,GODDARD SPACE FLIGHT CENTER,786659461,2011,CONSORTIUM THREE AEROSPACE
NASA,2563697,DISTRICT OF COLUMBIA,USA,0,NASA,NASA HEADQUARTERS,41964057,2012,NATIONAL ACADEMY OF SCIENCES
NASA,2500000,OHIO,USA,11,NASA,GLENN RESEARCH CENTER,58379538,2012,A-AABLE RENTS CO INC
NASA,2500000,SOUTH CAROLINA,USA,1,NASA,LANGLEY RESEARCH CENTER,38186834,2011,GROUNDS MAINTENANCE INCORPORATED
NASA,2147785,MARYLAND,USA,5,NASA,AMES RESEARCH CENTER,615335937,2012,"ASRC RESEARCH AND TECHNOLOGY SOLUTIONS, LLC"
NASA,2031963,NEW MEXICO,USA,3,NASA,JOHNSON SPACE CENTER,134161533,2012,"VISTA PHOTONICS, INC."
NASA,2000000,CALIFORNIA,USA,4,NASA,GODDARD SPACE FLIGHT CENTER,194444261,2012,FASTENER DEPOT INC
NASA,2000000,MASSACHUSETTS,USA,8,NASA,NASA SHARED SERVICES CENTER,85252729,2011,BOSTON MICROMACHINES CORPORATION
NASA,2000000,OHIO,USA,14,NASA,GLENN RESEARCH CENTER,17701848,2012,ABBOTT VALVE&FITTING CO
NASA,1678047,MASSACHUSETTS,USA,10,NASA,MARSHALL SPACE FLIGHT CENTER,107910259,2012,NOBLE SALES CO INC
NASA,1250000,OHIO,USA,9,NASA,GLENN RESEARCH CENTER,602289287,2012,"RJ RUNGE COMPANY, INC"
NASA,1188996,CALIFORNIA,USA,32,NASA,NASA SHARED SERVICES CENTER,946316007,2011,"PHOTON SYSTEMS, INC."
NASA,1100000,NEVADA,USA,2,NASA,MARSHALL SPACE FLIGHT CENTER,156174455,2012,"4DSP, LLC"
NASA,1048015,ALABAMA,USA,5,NASA,MARSHALL SPACE FLIGHT CENTER,111479820,2012,VEC VALLEY ELECTRIC INC
NASA,1000000,CALIFORNIA,USA,25,NASA,NASA SHARED SERVICES CENTER,623605024,2012,AERO INSTITUTE
NASA,1000000,KENTUCKY,USA,2,NASA,GLENN RESEARCH CENTER,623316692,2012,"MACHINED CERAMICS, INC."
NASA,900000,COLORADO,USA,6,NASA,NASA SHARED SERVICES CENTER,957456338,2011,"INSTAR ENGINEERING AND CONSULTING, INC."
NASA,850000,TEXAS,USA,22,NASA,JOHNSON SPACE CENTER,83142802,2012,JOHN FRASSANITO AND ASSOCIATES INCORPORATED
NASA,750000,ILLINOIS,USA,15,NASA,NASA SHARED SERVICES CENTER,623693533,2012,CBANA LABS INC.
NASA,630000,VIRGINIA,USA,10,NASA,NASA HEADQUARTERS,32042827,2012,VALADOR INC
NASA,417000,VIRGINIA,USA,10,NASA,NASA HEADQUARTERS,11460925,2012,TEAM ANALYSIS INC
NASA,250000,ALABAMA,USA,4,NASA,JOHNSON SPACE CENTER,159689405,2012,"SYMMETRY RESOURCES, INC."
NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,1783000000,TEXAS,USA,7,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ACQUISITION SERVICES DIVISION,11589751,2012,"BMC SOFTWARE, INC."
NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,30000000,OREGON,USA,3,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ACQUISITION SERVICES DIVISION,9745310,2012,"TOYOTA TSUSHO MATERIAL HANDLING AMERICA, INC."
NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,7209773,GEORGIA,USA,7,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ACQUISITION SERVICES DIVISION,53947789,2012,CORTRANS LOGISTICS LLC
NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,1100000,VIRGINIA,USA,10,NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,ACQUISITION SERVICES DIVISION,615304136,2012,SPECIAL AEROSPACE SECURITY SER
NATIONAL GALLERY OF ART,7000000,DISTRICT OF COLUMBIA,USA,0,NATIONAL GALLERY OF ART,NATIONAL GALLERY OF ARTS,46039202,2011,HARTMAN-COX ARCHITECTS
NATIONAL GALLERY OF ART,3199437,MARYLAND,USA,4,NATIONAL GALLERY OF ART,NATIONAL GALLERY OF ARTS,66773136,2011,WILLIAM H. WALSTON COMPANY
NATIONAL INSTITUTES OF HEALTH,10000000,MARYLAND,USA,8,NATIONAL INSTITUTES OF HEALTH,"CSR R&D CONTRACTS MANAGEMENT BRANCH, NHLBI, NIH",70908207,2011,TAR HEEL LESSEE LLC
NATIONAL INSTITUTES OF HEALTH,8000000,MASSACHUSETTS,USA,9,NATIONAL INSTITUTES OF HEALTH,OD OM ORFDO OA OFC ACQUISITIONS,829441716,2011,ROCKLEDGE CENTER ASSOCIATES LIMITED
NATIONAL INSTITUTES OF HEALTH,8000000,MASSACHUSETTS,USA,9,NATIONAL INSTITUTES OF HEALTH,OD OM ORFDO OA OFC ACQUISITIONS,829441716,2011,ROCKLEDGE CENTER ASSOCIATES LIMITED
NATIONAL INSTITUTES OF HEALTH,2000000,MARYLAND,USA,4,NATIONAL INSTITUTES OF HEALTH,"NEI R&D CONTRACTS MANAGEMENT BRANCH, OLAO, NIH",802428292,2011,TEAM PLACEMENT SERVICE INCORPORATED
NATIONAL INSTITUTES OF HEALTH,1000000,DISTRICT OF COLUMBIA,USA,0,NATIONAL INSTITUTES OF HEALTH,"CSR R&D CONTRACTS MANAGEMENT BRANCH, NHLBI, NIH",33640017,2011,"MARRIOTT INTERNATIONAL, INC"
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,40000000,CALIFORNIA,USA,50,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,WESTERN FIELD DELEGATES NMFS,41330275,2011,JACKSON&BLANC
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,11500000,WASHINGTON,USA,1,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,WESTERN ACQUISITION DIVISION - BOULDER,121169098,2011,"JOHANSEN MECHANICAL, INC."
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,5000000,MARYLAND,USA,,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,EASTERN ACQUISITION DIVISION KANSAS CITY,622827525,2011,IM SYSTEMS GROUP INCORPORATED
NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,5000000,WASHINGTON,USA,6,NATIONAL OCEANIC AND ATMOSPHERIC ADMINISTRATION,WESTERN ACQUISITION DIVISION - SEATTLE,79273157,2011,ART ANDERSON ASSOCIATES INCORPORATED
NATIONAL PARK SERVICE,119000000000,VIRGINIA,USA,11,NATIONAL PARK SERVICE,WASO WCP CONTRACTING,621599893,2012,AT&T CORP.
NATIONAL PARK SERVICE,22000001024,MARYLAND,USA,3,NATIONAL PARK SERVICE,SER REGIONAL CONTRACTING OPO,69373090,2012,"MOTOROLA SOLUTIONS, INC."
NATIONAL PARK SERVICE,12529000448,CALIFORNIA,USA,32,NATIONAL PARK SERVICE,WASO WCP CONTRACTING,110443764,2012,SOUTHERN CALIFORNIA EDISON COMPANY
NATIONAL PARK SERVICE,12000000000,TEXAS,USA,18,NATIONAL PARK SERVICE,SER SOUTH MABO,194672085,2011,"WASTE MANAGEMENT, INC."
NATIONAL PARK SERVICE,10000000000,VIRGINIA,USA,8,NATIONAL PARK SERVICE,NCR REGIONAL CONTRACTING,116194192,2012,"CANON U.S.A., INC."
NATIONAL PARK SERVICE,3400000000,ARKANSAS,USA,2,NATIONAL PARK SERVICE,WASO WCP CONTRACTING,790955327,2012,WINDSTREAM KENTUCKY EAST INCORPORATED
NATIONAL PARK SERVICE,1750000000,PENNSYLVANIA,USA,7,NATIONAL PARK SERVICE,IMR - REGIONAL CONTRACTING,835406539,2012,"AMERIGAS PROPANE, L.P."
NATIONAL PARK SERVICE,1627299968,ILLINOIS,USA,12,NATIONAL PARK SERVICE,MWR REGIONAL CONTRACTING,88736686,2011,OLIN CORPORATION
NATIONAL PARK SERVICE,930000000,INDIANA,USA,3,NATIONAL PARK SERVICE,NCR REGIONAL CONTRACTING,21640487,2012,PETROLEUM TRADERS CORPORATION
NATIONAL PARK SERVICE,699281984,VIRGINIA,USA,10,NATIONAL PARK SERVICE,PWR REGIONAL CONTRACTING,827714507,2012,"IRON BOW TECHNOLOGIES, LLC"
NATIONAL PARK SERVICE,423683000,NORTH CAROLINA,USA,13,NATIONAL PARK SERVICE,MWR REGIONAL CONTRACTING,1453216,2012,"REMINGTON ARMS COMPANY, LLC"
NATIONAL PARK SERVICE,300000000,MICHIGAN,USA,1,NATIONAL PARK SERVICE,MWR REGIONAL CONTRACTING,79972089,2012,WASTE MANAGEMENT INC.
NATIONAL PARK SERVICE,237000000,NEW JERSEY,USA,2,NATIONAL PARK SERVICE,NER REGIONAL CONTRACTING,11830635,2011,"RIGGINS, INC."
NATIONAL PARK SERVICE,230000000,UTAH,USA,3,NATIONAL PARK SERVICE,IMR - REGIONAL CONTRACTING,35358605,2011,THYSSENKRUPP ELEVATOR CORPORATION
NATIONAL PARK SERVICE,162223888,COLORADO,USA,1,NATIONAL PARK SERVICE,PWR REGIONAL CONTRACTING,55342690,2012,"GLOBAL TECHNOLOGY RESOURCES, INC."
NATIONAL PARK SERVICE,90000000,INDIANA,USA,7,NATIONAL PARK SERVICE,SER REGIONAL CONTRACTING OPO,622674208,2012,STERLING FLUID SYSTEMS (USA) INC
NATIONAL PARK SERVICE,83575384,MARYLAND,USA,1,NATIONAL PARK SERVICE,NCR REGIONAL CONTRACTING,22587976,2012,"TRI-GAS&OIL CO., INC."
NATIONAL PARK SERVICE,40000000,GEORGIA,USA,5,NATIONAL PARK SERVICE,SER REGIONAL CONTRACTING OPO,612211628,2012,"AMERICAN DISPOSAL SERVICES, INC (DEL)"
NATIONAL PARK SERVICE,40000000,WASHINGTON,USA,1,NATIONAL PARK SERVICE,ARO-ALASKA REGIONAL OFFICE,807596051,2012,"LEVERAGE INFORMATION SYSTEMS, INC."
NATIONAL PARK SERVICE,34000000,MICHIGAN,USA,4,NATIONAL PARK SERVICE,MWR REGIONAL CONTRACTING,129122953,2012,"AMERICAN WASTE, INC."
NATIONAL PARK SERVICE,16148575,VIRGINIA,USA,2,NATIONAL PARK SERVICE,NER REGIONAL CONTRACTING,23656804,2011,HARRY W DRUMMOND INC
NATIONAL PARK SERVICE,15000000,CALIFORNIA,USA,53,NATIONAL PARK SERVICE,WASO WCP CONTRACTING,790602767,2012,TELGIAN CORPORATION
NATIONAL PARK SERVICE,15000000,NEW YORK,USA,8,NATIONAL PARK SERVICE,PWR REGIONAL CONTRACTING,786094003,2012,17TH STREET PHOTO SUPPLY INCORPORATED
NATIONAL PARK SERVICE,13000000,FLORIDA,USA,16,NATIONAL PARK SERVICE,PWR REGIONAL CONTRACTING,152615712,2011,"CENTRAL FLORIDA YAMAHA, INC."
NATIONAL PARK SERVICE,12000000,PENNSYLVANIA,USA,4,NATIONAL PARK SERVICE,HFC - ACQUISITION MANAGEMENT,104177956,2011,"PANNIER CORPORATION, THE"
NATIONAL PARK SERVICE,11000000,VIRGINIA,USA,8,NATIONAL PARK SERVICE,HFC - ACQUISITION MANAGEMENT,101908259,2012,"HENNINGER MEDIA SERVICES, INC."
NATIONAL PARK SERVICE,10630768,ALASKA,USA,0,NATIONAL PARK SERVICE,ARO-ALASKA REGIONAL OFFICE,50532063,2012,ALASKA ROTEQ CORPORATION
NATIONAL PARK SERVICE,9946172,DISTRICT OF COLUMBIA,USA,0,NATIONAL PARK SERVICE,DSC CONTRACTING SERVICES DIVISION,194310876,2012,QUINN EVANS ARCHITECTS INC
NATIONAL PARK SERVICE,9862585,VIRGINIA,USA,10,NATIONAL PARK SERVICE,HFC - ACQUISITION MANAGEMENT,66784711,2011,COLOR-AD INC
NATIONAL PARK SERVICE,8000000,ARIZONA,USA,,NATIONAL PARK SERVICE,IMR - REGIONAL CONTRACTING,199374117,2012,"LAKE POWELL CONSTRUCTION&DEVELOPMENT, INC."
NATIONAL PARK SERVICE,8000000,ILLINOIS,USA,14,NATIONAL PARK SERVICE,IMR - REGIONAL CONTRACTING,5247564,2012,"BELSON OUTDOORS, INC."
NATIONAL PARK SERVICE,7500000,VIRGINIA,USA,10,NATIONAL PARK SERVICE,DSC CONTRACTING SERVICES DIVISION,98696602,2012,ALPHA CONSTRUCTION AND ENGINEE
NATIONAL PARK SERVICE,7000000,GEORGIA,USA,6,NATIONAL PARK SERVICE,WASO WCP CONTRACTING,622206068,2012,"XS INTERNATIONAL, INC."
NATIONAL PARK SERVICE,6200000,HAWAII,USA,2,NATIONAL PARK SERVICE,PWR REGIONAL CONTRACTING,124728036,2012,"HEARTWOOD PACIFIC, LLC"
NATIONAL PARK SERVICE,6100000,TEXAS,USA,16,NATIONAL PARK SERVICE,IMR - REGIONAL CONTRACTING,20459652,2011,NIGHTEYES PROTECTIVE SERVICES INC
NATIONAL PARK SERVICE,6083000,ALASKA,USA,0,NATIONAL PARK SERVICE,PWR REGIONAL CONTRACTING,602473592,2012,TYONEK CONTRACTORS LLC
NATIONAL PARK SERVICE,5870000,VIRGINIA,USA,10,NATIONAL PARK SERVICE,HFC - ACQUISITION MANAGEMENT,66784711,2012,COLOR AD INCORPORATED
NATIONAL PARK SERVICE,5000000,FLORIDA,USA,18,NATIONAL PARK SERVICE,SER REGIONAL CONTRACTING OPO,128239063,2012,SEAHUNTER INC
NATIONAL PARK SERVICE,4975000,OREGON,USA,3,NATIONAL PARK SERVICE,DSC CONTRACTING SERVICES DIVISION,199651951,2012,FORMATIONS INC
NATIONAL PARK SERVICE,4800000,OHIO,USA,1,NATIONAL PARK SERVICE,MWR REGIONAL CONTRACTING,603814054,2012,GOVERNMENT ACQUISITIONS INC
NATIONAL PARK SERVICE,4700000,TEXAS,USA,3,NATIONAL PARK SERVICE,SER REGIONAL CONTRACTING OPO,104329078,2012,VEE MODEL MANAGEMENT CONSULTING INC
NATIONAL PARK SERVICE,4500000,MONTANA,USA,0,NATIONAL PARK SERVICE,IMR - REGIONAL CONTRACTING,844058060,2012,"ALLIED WASTE SERVICES OF NORTH AMERICA, LLC"
NATIONAL PARK SERVICE,3500000,GEORGIA,USA,5,NATIONAL PARK SERVICE,DSC CONTRACTING SERVICES DIVISION,622820744,2012,"SMITH DALIA ARCHITECTS, LLC"
NATIONAL PARK SERVICE,3200000,CALIFORNIA,USA,5,NATIONAL PARK SERVICE,PWR REGIONAL CONTRACTING,153562343,2012,"S&S FENCE CO., INC."
NATIONAL PARK SERVICE,3000000,DISTRICT OF COLUMBIA,USA,0,NATIONAL PARK SERVICE,NCR REGIONAL CONTRACTING,119162399,2012,"POTOMAC RESTORATION, INC."
NATIONAL PARK SERVICE,3000000,VIRGINIA,USA,2,NATIONAL PARK SERVICE,ARO-ALASKA REGIONAL OFFICE,66596177,2012,"AIRTIME WATERSPORTS, INC."
NATIONAL PARK SERVICE,2800000,CALIFORNIA,USA,2,NATIONAL PARK SERVICE,PWR REGIONAL CONTRACTING,144812240,2012,T L PETERSON INC
NATIONAL PARK SERVICE,2763700,NEW YORK,USA,28,NATIONAL PARK SERVICE,MWR REGIONAL CONTRACTING,39549480,2011,BERGMANN ASSOCIATES INCORPORATED
NATIONAL PARK SERVICE,2100000,TEXAS,USA,31,NATIONAL PARK SERVICE,IMR - REGIONAL CONTRACTING,137677642,2012,BLIND DOG PRODUCTIONS LTD
NATIONAL PARK SERVICE,2000000,MARYLAND,USA,8,NATIONAL PARK SERVICE,NCR REGIONAL CONTRACTING,131499316,2011,ASTOR&SANDERS CORPORATION
NATIONAL PARK SERVICE,2000000,MISSOURI,USA,7,NATIONAL PARK SERVICE,MWR REGIONAL CONTRACTING,7124092,2012,INLAND PRINTING CO INC
NATIONAL PARK SERVICE,1966000,VIRGINIA,USA,2,NATIONAL PARK SERVICE,NCR REGIONAL CONTRACTING,808474212,2012,KARDA SYSTEMS LLC
NATIONAL PARK SERVICE,1870000,TEXAS,USA,20,NATIONAL PARK SERVICE,IMR - REGIONAL CONTRACTING,57568354,2012,CARL ELECTRIC COMPANY INC
NATIONAL PARK SERVICE,1820000,VIRGINIA,USA,8,NATIONAL PARK SERVICE,IMR - REGIONAL CONTRACTING,39860122,2011,XEROX CORPORATION
NATIONAL PARK SERVICE,1500000,ARIZONA,USA,2,NATIONAL PARK SERVICE,PWR REGIONAL CONTRACTING,194125931,2012,"RM EXCAVATION&GRADING, LLC"
NATIONAL PARK SERVICE,1500000,CALIFORNIA,USA,46,NATIONAL PARK SERVICE,PWR REGIONAL CONTRACTING,17526802,2012,ENVIROMENTAL COST MANAGEMENT
NATIONAL PARK SERVICE,1500000,MASSACHUSETTS,USA,5,NATIONAL PARK SERVICE,NER REGIONAL CONTRACTING,108620894,2012,"MAUREEN ELECTRICAL, INC."
NATIONAL PARK SERVICE,1500000,PENNSYLVANIA,USA,13,NATIONAL PARK SERVICE,NER REGIONAL CONTRACTING,100506547,2012,"CITADELL CONSTRUCTION COMPANY, INC."
NATIONAL PARK SERVICE,1235000,GEORGIA,USA,8,NATIONAL PARK SERVICE,SER REGIONAL CONTRACTING OPO,805601577,2012,LIGHTSEY RESTORATIONS
NATIONAL PARK SERVICE,1172971,NEW MEXICO,USA,3,NATIONAL PARK SERVICE,IMR - REGIONAL CONTRACTING,35788330,2012,"ALPINE BUILDERS SUPPLY CO., INC."
NATIONAL PARK SERVICE,1000000,VIRGINIA,USA,3,NATIONAL PARK SERVICE,SER REGIONAL CONTRACTING OPO,788249881,2012,"TEAM HENRY ENTERPRISES, LLC"
NATIONAL PARK SERVICE,978094,CALIFORNIA,USA,27,NATIONAL PARK SERVICE,IMR - REGIONAL CONTRACTING,136374571,2012,AMERICAN CLASSIC CONSTRUCTION INC.
NATIONAL PARK SERVICE,900000,MARYLAND,USA,8,NATIONAL PARK SERVICE,ARO-ALASKA REGIONAL OFFICE,958016545,2012,PRIZIM INC
NATIONAL PARK SERVICE,750000,MARYLAND,USA,6,NATIONAL PARK SERVICE,HFC - ACQUISITION MANAGEMENT,933998254,2012,"D'VINCI INTERACTIVE, INC."
NATIONAL PARK SERVICE,720000,WASHINGTON,USA,2,NATIONAL PARK SERVICE,PWR REGIONAL CONTRACTING,142333595,2012,"INDUSTRIAL DESIGN&EQUIPMENT, INC."
NATIONAL PARK SERVICE,500000,CALIFORNIA,USA,1,NATIONAL PARK SERVICE,IMR - REGIONAL CONTRACTING,12863028,2012,BRC ENGINEERING
NATIONAL PARK SERVICE,450000,GEORGIA,USA,5,NATIONAL PARK SERVICE,SER REGIONAL CONTRACTING OPO,603406419,2012,"EZEKIEL CONSTRUCTION, INC."
NATIONAL PARK SERVICE,400000,SOUTH DAKOTA,USA,0,NATIONAL PARK SERVICE,MWR REGIONAL CONTRACTING,78041092,2012,"DONLIN, TERRY"
NATIONAL PARK SERVICE,350000,INDIANA,USA,5,NATIONAL PARK SERVICE,MWR REGIONAL CONTRACTING,961669368,2012,AMERICAN SAFE SEAL INC.
NATIONAL PARK SERVICE,310000,GEORGIA,USA,7,NATIONAL PARK SERVICE,NCR REGIONAL CONTRACTING,617384680,2012,APACHE PROMOTIONS INCORPORATED
NATIONAL PARK SERVICE,300000,DELAWARE,USA,0,NATIONAL PARK SERVICE,NER REGIONAL CONTRACTING,181097635,2011,"L.B. SERVICES, LLC"
NATIONAL PARK SERVICE,250000,MARYLAND,USA,6,NATIONAL PARK SERVICE,HFC - ACQUISITION MANAGEMENT,21795112,2012,ION DESIGN LIMITED LIABILITY COMPANY
NATIONAL PARK SERVICE,225000,NORTH CAROLINA,USA,5,NATIONAL PARK SERVICE,SER REGIONAL CONTRACTING OPO,619781198,2012,"NICHOLS, PAUL AND SONS"
NATIONAL PARK SERVICE,222257,UTAH,USA,2,NATIONAL PARK SERVICE,IMR - REGIONAL CONTRACTING,939786869,2012,WESTERN DESIGN INC
NATIONAL PARK SERVICE,200000,RHODE ISLAND,USA,2,NATIONAL PARK SERVICE,NCR REGIONAL CONTRACTING,31184764,2012,BECKMAN INDUSTRIES
NATIONAL PARK SERVICE,110000,CALIFORNIA,USA,4,NATIONAL PARK SERVICE,WASO WCP CONTRACTING,146959460,2011,SIERRA TAHOE INVESTIGATIONS
NATIONAL PARK SERVICE,105890,DISTRICT OF COLUMBIA,USA,0,NATIONAL PARK SERVICE,MWR REGIONAL CONTRACTING,132362166,2012,"SOLONY, INC."
NATIONAL TRANSPORTATION SAFETY BOARD,1586000000,ILLINOIS,USA,10,NATIONAL TRANSPORTATION SAFETY BOARD,ACQUISITION AND LEASE MANAGEMENT DIVISION,5412847,2012,"VARIAN MEDICAL SYSTEMS, INC."
NATURAL RESOURCES CONSERVATION SERVICE,48000000,OKLAHOMA,USA,3,NATURAL RESOURCES CONSERVATION SERVICE,OK STATE OFFICE (NRCS),71222780,2011,LANGSTON UNIVERSITY
NATURAL RESOURCES CONSERVATION SERVICE,20813730,WEST VIRGINIA,USA,2,NATURAL RESOURCES CONSERVATION SERVICE,WV STATE OFFICE (NRCS),7286743,2011,"HEETER CONSTRUCTION, INC."
NATURAL RESOURCES CONSERVATION SERVICE,15000000,CALIFORNIA,USA,13,NATURAL RESOURCES CONSERVATION SERVICE,RI STATE OFFICE (NRCS),20149303,2011,NEW TECH SOLUTIONS INCORPORATED
NATURAL RESOURCES CONSERVATION SERVICE,12000000,VIRGINIA,USA,10,NATURAL RESOURCES CONSERVATION SERVICE,WDC OFFICE (NRCS),12994567,2011,MICROPACT ENGINEERING INCORPORATED
NATURAL RESOURCES CONSERVATION SERVICE,300915,MINNESOTA,USA,1,NATURAL RESOURCES CONSERVATION SERVICE,MN STATE OFFICE (NRCS),14780614,2011,SOIL WATER CONSERVATION
NUCLEAR REGULATORY COMMISSION,180000000000,NEW JERSEY,USA,7,NUCLEAR REGULATORY COMMISSION,"REGION III, DIVISION OF RESOURCE MANAGEMENT&ADMINISTRATION",968904698,2012,CELLCO PARTNERSHIP DBA VERIZON WIRELESS
NUCLEAR REGULATORY COMMISSION,1800000000,TEXAS,USA,21,NUCLEAR REGULATORY COMMISSION,OFFICE OF ADMINISTRATION,785836151,2011,CW GOVERNMENT TRAVEL INCORPORATED
NUCLEAR REGULATORY COMMISSION,571000000,COLORADO,USA,6,NUCLEAR REGULATORY COMMISSION,OFFICE OF ADMINISTRATION,620365023,2013,IHS GLOBAL INC.
NUCLEAR REGULATORY COMMISSION,533000000,TEXAS,USA,20,NUCLEAR REGULATORY COMMISSION,OFFICE OF ADMINISTRATION,7936842,2011,SOUTHWEST RESEARCH INSTITUTE INC
NUCLEAR REGULATORY COMMISSION,125000000,NEBRASKA,USA,1,NUCLEAR REGULATORY COMMISSION,"REGION II, DIV OF RESOURCE MGMT&ADMIN",938836541,2012,STERLING COMPUTERS CORPORATION
NUCLEAR REGULATORY COMMISSION,20000000,DISTRICT OF COLUMBIA,USA,0,NUCLEAR REGULATORY COMMISSION,OFFICE OF ADMINISTRATION,24760907,2012,OFFICE OF LANGUAGE SERVICES
NUCLEAR REGULATORY COMMISSION,6200000,NEW JERSEY,USA,,NUCLEAR REGULATORY COMMISSION,OFFICE OF ADMINISTRATION,54885111,2011,PHACIL INCORPORATED
NUCLEAR REGULATORY COMMISSION,6200000,NEW JERSEY,USA,,NUCLEAR REGULATORY COMMISSION,OFFICE OF ADMINISTRATION,54885111,2011,PHACIL INCORPORATED
OFFICE OF JUSTICE PROGRAMS,45000000,CALIFORNIA,USA,35,OFFICE OF JUSTICE PROGRAMS,ACQUISITION MANAGEMENT DIVISION,825062813,2011,DYNAMIC SYSTEMS INCORPORATED (8829)
"OFFICE OF POLICY, BUDGET AND ADMINISTRATION",80000000000,MINNESOTA,USA,2,"OFFICE OF POLICY, BUDGET AND ADMINISTRATION",IBC ACQUISITION SERVICES DIVISION,77631943,2011,UNITED STATES POSTAL SERVICE
"OFFICE OF POLICY, MANAGEMENT, AND BUDGET",7000000,MARYLAND,USA,7,"OFFICE OF POLICY, MANAGEMENT, AND BUDGET",INTERIOR BUSINESS CENTER,160886888,2012,"FEI.COM, INC."
OFFICE OF PROCUREMENT OPERATIONS,125000000,MARYLAND,USA,8,OFFICE OF PROCUREMENT OPERATIONS,INTELLIGENCE AND OPERATIONS ACQUISITION DIVISION,615378007,2011,"FCN, INC."
OFFICE OF PROCUREMENT OPERATIONS,125000000,MARYLAND,USA,8,OFFICE OF PROCUREMENT OPERATIONS,INTELLIGENCE AND OPERATIONS ACQUISITION DIVISION,615378007,2011,"FCN, INC."
